0_0, 0_1, 0_2, 1_0, 1_1, 1_2, 2_0, 2_1, 2_2, has_horizontal, has_vertical
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.1, 0, 0.489, 0.589, 0.489, 0.1, 0.2, 0.1, 1, 1
0, 0.484, 0.392, 0, 0.484, 0.392, 0.898, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0.278, 0.278, 0.278, 0.465, 0.465, 0.465, 1, 0
0, 0.879, 0.299, 0, 0.879, 0.299, 0, 0.879, 0.299, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0.463, 1, 0.752, 0, 0.837, 0.752, 0, 0.837, 1, 1
0.128, 0.322, 0.128, 0.639, 0.834, 0.639, 0, 0.194, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.781, 1, 0.986, 0.369, 0.833, 0.575, 0, 0.464, 0.206, 1, 1
0, 0.194, 0, 0.1, 0.294, 0.1, 0, 0.194, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.757, 0.1, 0.1, 1, 0.708, 0.708, 0.657, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 0.638, 0.638, 0.638, 1, 0
0.922, 0.922, 0.922, 0, 0, 0, 0.76, 0.76, 0.76, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0.468, 0, 0.1, 0.468, 0, 0.1, 0.468, 0, 0, 1
0.802, 0.802, 0.802, 0, 0, 0, 0.882, 0.882, 0.882, 1, 0
0.714, 0, 0.323, 0.714, 0, 0.323, 0.714, 0, 0.323, 0, 1
0.685, 0, 0.588, 0.685, 0, 0.588, 0.685, 0, 0.588, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0.567, 0.567, 0.567, 0.458, 0.458, 0.458, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.762, 0, 0, 0.762, 0, 0, 0.762, 0, 0, 1
1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
0.387, 0.387, 0.915, 0.858, 0.858, 1, 0, 0, 0.528, 1, 1
0.902, 0.902, 0.902, 0.757, 0.757, 0.757, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0.1, 0, 0, 0.1, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0.183, 0.821, 0.821, 1, 0, 0, 0.183, 1, 1
0.415, 0.832, 0, 0.415, 0.832, 0, 0.894, 1, 0.479, 1, 1
0.723, 0.723, 0.723, 0, 0, 0, 0.663, 0.663, 0.663, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.455, 0.455, 0.455, 0, 0, 0, 0.343, 0.343, 0.343, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.676, 0, 0.984, 0.676, 0, 0.984, 0.676, 0, 0.984, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.865, 0.59, 0.59, 0.275, 0, 0, 1, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0.265, 0.265, 0.265, 0.372, 0.372, 0.372, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.177, 0, 0.271, 0.177, 0, 0.271, 0.177, 0, 0.271, 0, 1
0, 0.142, 0, 0, 0.142, 0, 0, 0.142, 0, 0, 1
0, 0, 0.394, 0, 0, 0.394, 0, 0, 0.394, 0, 1
0, 0, 0.42, 0.1, 0.1, 0.52, 0.443, 0.443, 0.863, 1, 1
0, 0.625, 0, 0, 0.625, 0, 0, 0.625, 0, 0, 1
0, 0, 0.45, 0, 0, 0.45, 0, 0, 0.45, 0, 1
0, 0, 0, 0.953, 0.953, 0.953, 0.565, 0.565, 0.565, 1, 0
0, 0, 0, 0, 0, 0, 0.95, 0.95, 0.95, 1, 0
0.394, 0, 0.606, 0.394, 0, 0.606, 0.394, 0, 0.606, 0, 1
0.586, 0, 0, 0.586, 0, 0, 0.586, 0, 0, 0, 1
0.435, 0.775, 0.197, 0.238, 0.578, 0, 0.238, 0.578, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.623, 0, 0.504, 0.623, 0, 0.504, 0.623, 0, 0.504, 0, 1
1, 0, 0.465, 1, 0.454, 0.919, 1, 0.209, 0.674, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.298, 0.298, 0.298, 0.1, 0.1, 0.1, 0, 0, 0, 1, 0
0.731, 0.731, 0.997, 0, 0, 0.266, 0, 0, 0.266, 1, 1
0, 0.539, 0, 0, 0.539, 0, 0, 0.539, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.729, 0.285, 0, 0.729, 0.285, 0, 0.729, 0.285, 0, 0, 1
0.566, 0, 0, 0.566, 0, 0, 0.566, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 1, 0.917, 0.917, 1, 0, 0, 1, 1, 1
0, 0, 0, 0.93, 0.93, 0.93, 0.593, 0.593, 0.593, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.103, 0.911, 0.659, 1, 1, 1, 0, 0.808, 0.556, 1, 1
0.295, 1, 0.295, 0, 0.725, 0, 0.588, 1, 0.588, 1, 1
0.545, 0, 0, 0.545, 0, 0, 0.545, 0, 0, 0, 1
0, 0.843, 0.429, 0.447, 1, 0.875, 0, 0.843, 0.429, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.758, 0.758, 0.758, 0, 0, 0, 0, 0, 0, 1, 0
0.899, 0.557, 0.557, 0.342, 0, 0, 0.342, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.822, 0.71, 0, 0.822, 0.71, 0, 0.822, 0.71, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.583, 0.483, 0, 0.583, 0.483, 0, 0.583, 0.483, 0, 0, 1
0.1, 0.481, 0, 0.463, 0.844, 0.363, 0.778, 1, 0.678, 1, 1
0.749, 0.749, 0.749, 0.556, 0.556, 0.556, 0, 0, 0, 1, 0
0.628, 0.129, 0.129, 0.499, 0, 0, 1, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.665, 0.665, 1, 0, 0, 0.351, 0.568, 0.568, 0.918, 1, 1
0.537, 0.537, 0.537, 0, 0, 0, 0.241, 0.241, 0.241, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.72, 0, 0, 0.72, 0, 0, 0.72, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.359, 0.359, 0.359, 0, 0, 0, 0.582, 0.582, 0.582, 1, 0
0, 0, 0.47, 0, 0, 0.47, 0, 0, 0.47, 0, 1
0, 0, 0, 0, 0, 0, 0.666, 0.666, 0.666, 1, 0
0.146, 0.146, 0.146, 0, 0, 0, 0.246, 0.246, 0.246, 1, 0
0.695, 0.975, 0.695, 0, 0.279, 0, 0, 0.279, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.562, 0, 0, 0.562, 0, 0, 0.562, 0, 0, 1
1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 0.501, 0.501, 0.501, 0, 0, 0, 1, 0
0, 0.607, 0, 0.661, 1, 0.661, 0.306, 0.912, 0.306, 1, 1
0.86, 0.86, 0.86, 0, 0, 0, 0.318, 0.318, 0.318, 1, 0
0, 0, 0, 0.758, 0.758, 0.758, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.997, 0, 0.794, 1, 0.193, 0.987, 1, 0.919, 1, 1, 1
0, 0, 0, 0.573, 0.573, 0.573, 0, 0, 0, 1, 0
0.895, 0.986, 0.282, 0.96, 1, 0.347, 0.613, 0.704, 0, 1, 1
0, 0.392, 0, 0.171, 0.563, 0.171, 0, 0.392, 0, 1, 1
0.46, 0.1, 0, 1, 0.728, 0.628, 0.46, 0.1, 0, 1, 1
0.164, 0.427, 0, 0.164, 0.427, 0, 0.995, 1, 0.831, 1, 1
0.657, 0.355, 0.855, 0.303, 0, 0.5, 0.788, 0.486, 0.986, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7, 0.1, 0.1, 0.6, 0, 0, 0.6, 0, 0, 1, 1
0.568, 1, 0.468, 0.1, 0.536, 0, 0.1, 0.536, 0, 1, 1
0, 0.508, 0.1, 0, 0.508, 0.1, 0, 0.508, 0.1, 0, 1
0, 0, 0, 0, 0, 0, 0.441, 0.441, 0.441, 1, 0
0.903, 0.468, 0.965, 0.435, 0, 0.497, 1, 0.595, 1, 1, 1
0.665, 0.665, 0.665, 0, 0, 0, 0, 0, 0, 1, 0
0.461, 0, 0, 0.461, 0, 0, 0.461, 0, 0, 0, 1
0.379, 1, 0.379, 0, 0.675, 0, 0.349, 1, 0.349, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.422, 0.422, 0.422, 0, 0, 0, 0.331, 0.331, 0.331, 1, 0
0.69, 0, 0, 0.69, 0, 0, 0.69, 0, 0, 0, 1
0, 0, 0, 0.555, 0.555, 0.555, 0.366, 0.366, 0.366, 1, 0
1, 0.783, 0.607, 0.703, 0.42, 0.244, 0.459, 0.176, 0, 1, 1
0, 0, 0, 0.271, 0.271, 0.271, 0.937, 0.937, 0.937, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.129, 0.129, 0.129, 0, 0, 0, 0.1, 0.1, 0.1, 1, 0
0, 0.393, 0, 0, 0.393, 0, 0, 0.393, 0, 0, 1
0.228, 0.754, 0.228, 0, 0.526, 0, 0, 0.526, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.722, 0, 0, 0.722, 0, 0, 0.722, 0, 0, 1
0, 0.785, 0.384, 0, 0.785, 0.384, 0, 0.785, 0.384, 0, 1
0, 0, 0.854, 0.151, 0.151, 1, 0.643, 0.643, 1, 1, 1
0.615, 0.615, 0.615, 0, 0, 0, 0, 0, 0, 1, 0
0.346, 0, 0, 0.346, 0, 0, 0.346, 0, 0, 0, 1
0.284, 0.284, 0.284, 0, 0, 0, 0.735, 0.735, 0.735, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.128, 0.128, 0.128, 0, 0, 0, 0.636, 0.636, 0.636, 1, 0
0, 0.1, 0, 0, 0.1, 0, 0, 0.1, 0, 0, 1
0, 0, 0.5, 0.913, 0.913, 1, 0, 0, 0.5, 1, 1
0.348, 0, 0.345, 0.348, 0, 0.345, 0.348, 0, 0.345, 0, 1
0, 0, 0.733, 0, 0, 0.733, 0, 0, 0.733, 0, 1
0.592, 0.963, 1, 0, 0.371, 0.689, 0, 0.371, 0.689, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.749, 0, 0.65, 0.749, 0, 0.65, 0.749, 0, 0.65, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.618, 0.239, 0, 0.618, 0.239, 0, 0.618, 0.239, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.552, 1, 0.552, 0, 0.475, 0, 0.414, 0.889, 0.414, 1, 1
0, 0.51, 0, 0, 0.51, 0, 0, 0.51, 0, 0, 1
0.343, 0.343, 1, 0.1, 0.1, 0.955, 0, 0, 0.855, 1, 1
0, 0, 0, 0.708, 0.708, 0.708, 0, 0, 0, 1, 0
0.38, 0.38, 1, 0, 0, 0.635, 0, 0, 0.635, 1, 1
0, 0.441, 0, 0.332, 0.773, 0.332, 0, 0.441, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 0.791, 0.315, 0.669, 0, 1, 1, 1, 1, 1
0, 0.1, 0, 0, 0.1, 0, 0.473, 0.573, 0.473, 1, 1
0, 0, 0, 0.115, 0.115, 0.115, 0.901, 0.901, 0.901, 1, 0
0, 0, 0.366, 0, 0, 0.366, 0.458, 0.458, 0.823, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0.145, 0, 0, 0.145, 0.566, 0.566, 0.711, 1, 1
0.38, 0.284, 0, 1, 1, 0.895, 0.38, 0.284, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.724, 0, 0.491, 0.896, 0.171, 0.663, 1, 1, 1, 1, 1
0, 0, 0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 1, 0
0.393, 0, 0, 0.504, 0.112, 0.112, 0.963, 0.57, 0.57, 1, 1
0, 0, 0, 0.1, 0.1, 0.1, 0.435, 0.435, 0.435, 1, 0
0, 0, 0, 0.162, 0.162, 0.162, 0.556, 0.556, 0.556, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.505, 0, 0, 1, 0.637, 0.637, 0.505, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.486, 0, 0.582, 0.486, 0, 0.582, 0.486, 0, 0.582, 0, 1
0.877, 0.877, 0.877, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.444, 0, 0.332, 0.776, 0.332, 0.627, 1, 0.627, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.329, 0.878, 1, 0, 0.549, 0.673, 0.475, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.381, 0.268, 0.268, 0.113, 0, 0, 0.113, 0, 0, 1, 1
0, 0.335, 0, 0, 0.335, 0, 0.447, 0.782, 0.447, 1, 1
0, 0.764, 0, 0, 0.764, 0, 0.617, 1, 0.617, 1, 1
0.1, 0.1, 0.997, 0.503, 0.503, 1, 0, 0, 0.897, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.163, 0.263, 0.163, 0, 0.1, 0, 0, 0.1, 0, 1, 1
0, 0.588, 0, 0, 0.588, 0, 0, 0.588, 0, 0, 1
0.373, 0.373, 0.373, 0, 0, 0, 0, 0, 0, 1, 0
0, 0.266, 0.935, 0, 0.266, 0.935, 0, 0.266, 0.935, 0, 1
0.46, 0, 0, 1, 0.786, 0.786, 0.46, 0, 0, 1, 1
0.96, 0.181, 0, 1, 0.934, 0.753, 0.96, 0.181, 0, 1, 1
0.593, 0.593, 0.593, 0, 0, 0, 0.612, 0.612, 0.612, 1, 0
0, 0, 0, 0.457, 0.457, 0.457, 0.1, 0.1, 0.1, 1, 0
0, 0, 0.25, 0, 0, 0.25, 0, 0, 0.25, 0, 1
0, 0.388, 0.477, 0, 0.388, 0.477, 0, 0.388, 0.477, 0, 1
1, 0.905, 1, 0.833, 0, 0.701, 1, 0.51, 1, 1, 1
0, 0, 0, 0.465, 0.465, 0.465, 0, 0, 0, 1, 0
0.462, 0.462, 1, 0.895, 0.895, 1, 0, 0, 1, 1, 1
0, 0, 0.458, 0, 0, 0.458, 0, 0, 0.458, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0.1, 0, 0, 0.1, 0.862, 0.862, 0.962, 1, 1
0, 0.73, 0, 0.864, 1, 0.864, 0.357, 1, 0.357, 1, 1
0.694, 0.694, 0.942, 0, 0, 0.248, 0.495, 0.495, 0.743, 1, 1
0, 0.1, 0.1, 0, 0.1, 0.1, 0, 0.1, 0.1, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.618, 0, 0, 0.618, 0, 0, 0.618, 0, 0, 0, 1
0, 0.967, 0.475, 0, 0.967, 0.475, 0, 0.967, 0.475, 0, 1
0, 0, 0, 0, 0, 0, 0.78, 0.78, 0.78, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.2, 0.1, 0.1, 0.1, 0, 0, 0.1, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 1, 0
0, 0, 0, 0.844, 0.844, 0.844, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.733, 0, 0.537, 0.984, 0.25, 0.787, 1, 0.773, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.768, 0.768, 0.768, 0.416, 0.416, 0.416, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.515, 0, 0, 0.515, 0, 0, 0.515, 0, 0, 0, 1
0.478, 0.478, 0.478, 0, 0, 0, 0, 0, 0, 1, 0
0, 0.618, 0.201, 0, 0.618, 0.201, 0, 0.618, 0.201, 0, 1
0, 0, 0.61, 0, 0, 0.61, 0, 0, 0.61, 0, 1
0, 0, 0, 0.684, 0.684, 0.684, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.832, 0, 0.281, 0.832, 0, 0.281, 0.832, 0, 0.281, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.682, 0, 0.1, 0.682, 0, 0.1, 0.682, 0, 0.1, 0, 1
0, 0.653, 0.216, 0.358, 1, 0.574, 0.265, 0.919, 0.481, 1, 1
0, 0.377, 0, 0.515, 0.892, 0.515, 0, 0.377, 0, 1, 1
0.738, 0.738, 0.738, 0.807, 0.807, 0.807, 0, 0, 0, 1, 0
0.573, 0.534, 0, 0.573, 0.534, 0, 0.573, 0.534, 0, 0, 1
0.579, 0.579, 0.579, 0, 0, 0, 0.59, 0.59, 0.59, 1, 0
0, 0, 0, 0.437, 0.437, 0.437, 0.445, 0.445, 0.445, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.941, 0.1, 0.472, 0.841, 0, 0.372, 0.841, 0, 0.372, 1, 1
0.277, 0.277, 0.277, 0, 0, 0, 0.928, 0.928, 0.928, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0.545, 0.545, 0.545, 1, 0
0, 0, 0.169, 0, 0, 0.169, 0, 0, 0.169, 0, 1
0, 0, 0, 0, 0, 0, 0.516, 0.516, 0.516, 1, 0
1, 0.746, 0.746, 0.482, 0.1, 0.1, 0.382, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.708, 0, 0.765, 1, 0.765, 0, 0.708, 0, 1, 1
0.1, 0.1, 0.913, 0, 0, 0.813, 0, 0, 0.813, 1, 1
0.1, 0, 1, 0.1, 0, 1, 0.624, 0.524, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.354, 0, 0.699, 0.354, 0, 0.699, 0.354, 0, 0.699, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0.633, 0.902, 0.634, 0, 0.269, 0.734, 0.1, 0.369, 1, 1
0.44, 0.44, 0.44, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0.536, 0, 0, 0.536, 0.106, 0.106, 0.642, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0.185, 0, 0, 0.185, 0, 0, 0.185, 0, 1
0, 0, 0, 0, 0, 0, 0.31, 0.31, 0.31, 1, 0
0, 0, 0, 0.605, 0.605, 0.605, 0, 0, 0, 1, 0
0, 0, 0, 0.168, 0.168, 0.168, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.601, 0.601, 0.601, 0, 0, 0, 0.715, 0.715, 0.715, 1, 0
0.422, 0, 0.1, 0.422, 0, 0.1, 0.422, 0, 0.1, 0, 1
1, 0.556, 0.556, 0.709, 0, 0, 0.709, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.807, 0, 0.329, 1, 0.909, 1, 0.807, 0, 0.329, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.553, 0, 0, 0.553, 0, 0, 0.553, 0, 0, 0, 1
0.836, 0.836, 0.836, 0.6, 0.6, 0.6, 0, 0, 0, 1, 0
0.698, 0.698, 0.698, 0, 0, 0, 0, 0, 0, 1, 0
0.755, 0.755, 0.755, 0, 0, 0, 0.492, 0.492, 0.492, 1, 0
0.1, 0.1, 0.1, 0.133, 0.133, 0.133, 0, 0, 0, 1, 0
0.246, 1, 0.52, 0.1, 1, 0.374, 0, 1, 0.274, 1, 1
0, 0, 0, 0.544, 0.544, 0.544, 0.434, 0.434, 0.434, 1, 0
0.581, 0.581, 0.581, 0, 0, 0, 0, 0, 0, 1, 0
0.745, 0.745, 0.745, 0, 0, 0, 0.1, 0.1, 0.1, 1, 0
1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
0.322, 0, 0.632, 0.322, 0, 0.632, 0.322, 0, 0.632, 0, 1
0.458, 0.458, 0.458, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.912, 0, 0.831, 1, 0.831, 0.1, 1, 0.1, 1, 1
0.493, 0.809, 0, 1, 1, 0.681, 1, 1, 0.838, 1, 1
0, 0.414, 0.745, 0, 0.414, 0.745, 0, 0.414, 0.745, 0, 1
0, 0.975, 0.468, 0, 0.975, 0.468, 0, 0.975, 0.468, 0, 1
0.815, 0.915, 0.815, 0, 0.1, 0, 0.281, 0.381, 0.281, 1, 1
0.665, 0.665, 1, 0.525, 0.525, 1, 0, 0, 0.527, 1, 1
0.431, 0.83, 0.431, 0.774, 1, 0.774, 0, 0.399, 0, 1, 1
0.746, 0.746, 0.746, 0, 0, 0, 0, 0, 0, 1, 0
0.32, 0, 0, 0.32, 0, 0, 0.32, 0, 0, 0, 1
0.302, 0.302, 0.302, 0, 0, 0, 0.232, 0.232, 0.232, 1, 0
0, 0, 0, 0.582, 0.582, 0.582, 0.1, 0.1, 0.1, 1, 0
0, 0, 0, 0.463, 0.463, 0.463, 0, 0, 0, 1, 0
0.691, 0.342, 0, 0.691, 0.342, 0, 0.691, 0.342, 0, 0, 1
0, 0.567, 0, 0, 0.567, 0, 0, 0.567, 0, 0, 1
1, 0.516, 0.788, 0.515, 0, 0.272, 0.515, 0, 0.272, 1, 1
0.901, 0.756, 1, 0.146, 0, 0.612, 0.146, 0, 0.612, 1, 1
0, 0, 0, 0.634, 0.634, 0.634, 0.505, 0.505, 0.505, 1, 0
0, 0, 0.779, 0, 0, 0.779, 0, 0, 0.779, 0, 1
0, 0, 0, 0, 0, 0, 0.744, 0.744, 0.744, 1, 0
0.972, 1, 0.972, 0, 0.474, 0, 1, 1, 1, 1, 1
0.354, 0.354, 0.354, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0.153, 0.302, 0.302, 0.455, 0.987, 0.987, 1, 1, 1
0, 0, 0, 0.1, 0.1, 0.1, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0.185, 0.185, 0.185, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.356, 0.948, 1, 0.738, 1, 1, 0, 0.592, 1, 1, 1
0, 0, 0.1, 0, 0, 0.1, 0, 0, 0.1, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.711, 0, 0.62, 1, 0.59, 1, 0.711, 0, 0.62, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0.338, 0.338, 0.338, 0.566, 0.566, 0.566, 1, 0
0.142, 0.608, 0, 0.794, 1, 0.652, 0.142, 0.608, 0, 1, 1
0.4, 0, 0, 0.4, 0, 0, 0.4, 0, 0, 0, 1
0, 0, 0, 0.1, 0.1, 0.1, 0.894, 0.894, 0.894, 1, 0
1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.614, 0, 0, 0.614, 0, 0, 0.614, 0, 0, 0, 1
0.49, 0.741, 0, 0.49, 0.741, 0, 0.49, 0.741, 0, 0, 1
0, 0.749, 0.606, 0, 0.749, 0.606, 0, 0.749, 0.606, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.795, 0.934, 0, 0.795, 0.934, 0, 0.795, 0.934, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0.266, 0.266, 0.266, 1, 0
0.502, 0.324, 0.324, 1, 0.965, 0.965, 0.178, 0, 0, 1, 1
0, 0, 0.54, 0, 0, 0.54, 0, 0, 0.54, 0, 1
0, 0.195, 0, 0, 0.195, 0, 0, 0.195, 0, 0, 1
0, 0, 0, 0.763, 0.763, 0.763, 1, 1, 1, 1, 0
0.207, 0.207, 0.207, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0.1, 0.1, 0.1, 1, 1, 1, 1, 0
0.56, 0, 0, 0.56, 0, 0, 0.56, 0, 0, 0, 1
0.532, 0.825, 1, 0, 0.294, 0.476, 0, 0.294, 0.476, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.392, 0.222, 0, 0.392, 0.222, 0, 0.392, 0.222, 0, 1
